symbol,name,price,exchange
SPY,SPDR S&P 500,343.38,NYSE Arca
CMCSA,Comcast Corp,44.27,Nasdaq Global Select
KMI,Kinder Morgan Inc,12.68,New York Stock Exchange
INTC,Intel Corp,53.43,Nasdaq Global Select
MU,Micron Technology Inc,53.53,Nasdaq Global Select
GDX,VanEck Vectors Gold Miners,39.46,NYSE Arca
GE,General Electric Co,7.34,New York Stock Exchange
BAC,Bank of America Corp,24.14,New York Stock Exchange
EEM,iShares MSCI Emerging Index Fund,45.93,NYSE Arca
XLF,SPDR Select Sector Fund - Financial,24.81,NYSE Arca
AAPL,Apple Inc,117.51,Nasdaq Global Select
MSFT,Microsoft Corp,214.65,Nasdaq Global Select
SIRI,Sirius XM Holdings Inc,5.8,Nasdaq Global Select
HPQ,HP Inc,19.37,New York Stock Exchange
CX,Cemex S.A.B. de C.V. Sponsored ADR,4.2,New York Stock Exchange
EFA,iShares MSCI EAFE,64.82,NYSE Arca
CZR,Caesars Entertainment Inc,54.47,Nasdaq Global Select
QQQ,PowerShares QQQ Trust Series 1,284.41,NASDAQ Global Market
F,Ford Motor Co,7.74,New York Stock Exchange
AMD,Advanced Micro Devices Inc,81.56,NASDAQ Capital Market
SNAP,Snap Inc,28.45,New York Stock Exchange
FB,Facebook Inc,267.56,Nasdaq Global Select
WFC,Wells Fargo & Co,22.81,New York Stock Exchange
AIG,American International Group Inc,30.65,New York Stock Exchange
T,AT&T Inc,26.76,New York Stock Exchange
C,Citigroup Inc,43.52,New York Stock Exchange
VALE,VALE S.A. American Depositary Shares Each Representing one,11.09,New York Stock Exchange
MS,Morgan Stanley,51.47,New York Stock Exchange
AKS,AK Steel Holding Corporation,1.55,New York Stock Exchange
JPM,JPMorgan Chase & Co,100.37,New York Stock Exchange
ORCL,Oracle Corp,59.75,New York Stock Exchange
NKE,Nike Inc,128.49,New York Stock Exchange
VWO,Vanguard FTSE Emerging Markets,45.05,NYSE Arca
PG,Procter & Gamble Co,142.48,New York Stock Exchange
FXI,iShares China Large-Cap,44.28,NYSE Arca
IWM,iShares Russell 2000,160.76,NYSE Arca
GSM,Ferroglobe PLC,0.62,Nasdaq Global Select
HK,Halcon Resources Corporation,0.19,New York Stock Exchange
BBD,Banco Bradesco Sa American Depositary Shares,3.84,New York Stock Exchange
PFE,Pfizer Inc,37.49,New York Stock Exchange
JD,JD.com Inc.,82.57,Nasdaq Global Select
NOK,Nokia Corporation Sponsored American Depositary Shares,4.2,New York Stock Exchange
TWTR,Twitter Inc,46.35,New York Stock Exchange
AMLP,Alerian MLP,21.74,NYSE Arca
AVGO,Broadcom Inc,376.99,Nasdaq Global Select
AMAT,Applied Materials Inc,62.26,Nasdaq Global Select
WFT,Weatherford International plc (Ireland),0.36,New York Stock Exchange
UVXY,ProShares Trust Ultra VIX Short Term Futures,17.9,NYSE Arca
DWDP,DowDuPont Inc.,30.51,New York Stock Exchange
VXX,iPath S&P 500 VIX Short Term Futures TM ETN,23.23,NYSE Arca
VEA,Vanguard FTSE Developed Markets,41.61,NYSE Arca
ZNGA,Zynga Inc,8.98,Nasdaq Global Select
XOM,Exxon Mobil Corp,33.7,New York Stock Exchange
QCOM,Qualcomm Inc,128.3,Nasdaq Global Select
TVIX,VelocityShares Daily 2x VIX Short Term ETN,112.36,NASDAQ Global Market
VIPS,Vipshop Holdings Ltd,18.97,New York Stock Exchange
GLD,SPDR Gold Trust,179.25,NYSE Arca
CSCO,Cisco Systems Inc,39.2,Nasdaq Global Select
AXP,American Express Co,103.14,New York Stock Exchange
BMY,Bristol-Myers Squibb Co,60.64,New York Stock Exchange
V,Visa Inc,197.7,New York Stock Exchange
USO,United States Oil Fund,29.05,NYSE Arca
GRPN,Groupon Inc,19.36,Nasdaq Global Select
WP,Worldpay Inc. Class A,124.37,New York Stock Exchange
OIH,VanEck Vectors Oil Services,100.26,NYSE Arca
GERN,Geron Corp,1.85,Nasdaq Global Select
KEY,KeyCorp,13.08,New York Stock Exchange
RF,Regions Financial Corp,12.94,New York Stock Exchange
KR,Kroger Co,33.33,New York Stock Exchange
HAL,Halliburton Co,12.74,New York Stock Exchange
BABA,Alibaba Group Holding Ltd,309.81,New York Stock Exchange
MRO,Marathon Oil Corp,4.15,New York Stock Exchange
CLNS,Colony NorthStar Inc.,6.41,New York Stock Exchange
GILD,Gilead Sciences Inc,60.55,Nasdaq Global Select
IEMG,iShares Core MSCI Emerging Markets,54.98,NYSE Arca
GM,General Motors Co,35.6,New York Stock Exchange
FCX,Freeport-McMoRan Inc,17.61,New York Stock Exchange
CRM,Salesforce.Com Inc,255.97,New York Stock Exchange
ATVI,Activision Blizzard Inc,80.14,Nasdaq Global Select
SQ,Square Inc,185.74,New York Stock Exchange
P,Pandora Media Inc.,8.4,New York Stock Exchange
XLK,SPDR Select Sector Fund - Technology,119.31,NYSE Arca
TWX,Time Warner Inc.,98.91,New York Stock Exchange
NUE,Nucor Corp,48.51,New York Stock Exchange
XOP,SPDR S&P Oil & Gas Explor & Product,43.58,NYSE Arca
SWN,Southwestern Energy Co,2.86,New York Stock Exchange
LOW,Lowe`s Companies Inc,177.09,New York Stock Exchange
RAD,Rite Aid Corp,9.82,New York Stock Exchange
VEON,VEON Ltd.,1.31,Nasdaq Global Select
HYG,iShares iBoxx $ High Yield Corporate Bond,84.63,NYSE Arca
APC,Anadarko Petroleum Corporation,69.92,New York Stock Exchange
