date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-06-28,QCOM,2020-07-29 00:00:00,2020-07-29 16:17:38,Q3,6120000000.0,4480000000.0,10600000000.0,1847000000,2343000000.0,768000000.0,15558000000,3945000000,6299000000.0,1749000000.0,8048000000.0,963000000.0,0.0,3814000000.0,16770000000,4582000000.0,32328000000,2046000000.0,500000000.0,1872000000.0,550000000.0,4220000000.0,7914000000,15425000000.0,864000000.0,1872000000.0,5683000000.0,21108000000.0,5683000000.0,29022000000,113000000.0,3081000000.0,224000000.0,112000000.0,3306000000.0,32328000000,5443000000.0,15925000000.0,9805000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894920000057/0001728949-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894920000057/qcom-20200628.htm
2020-03-29,QCOM,2020-04-29 00:00:00,2020-04-29 16:15:43,Q2,8403000000.0,1543000000.0,9946000000.0,3081000000,1700000000.0,586000000.0,15313000000,3833000000,6294000000.0,1889000000.0,8183000000.0,936000000.0,0.0,3673000000.0,16625000000,4259000000.0,31938000000,2061000000.0,499000000.0,1879000000.0,529000000.0,4383000000.0,9774000000,13449000000.0,968000000.0,1879000000.0,5670000000.0,19119000000.0,5670000000.0,28893000000,0.0,2990000000.0,110000000.0,55000000.0,3045000000.0,31938000000,2479000000.0,15948000000.0,7545000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894920000031/0001728949-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894920000031/qcom-20200329.htm
2019-12-29,QCOM,2020-02-05 00:00:00,2020-02-05 16:07:43,Q1,11109000000.0,314000000.0,11423000000.0,2737000000,1420000000.0,625000000.0,16205000000,3650000000,6297000000.0,2045000000.0,8342000000.0,0.0,0.0,4914000000.0,16906000000,5539000000.0,33111000000,1718000000.0,499000000.0,2054000000.0,511000000.0,3903000000.0,9194000000,13437000000.0,1061000000.0,2054000000.0,5967000000.0,19404000000.0,5967000000.0,28598000000,0.0,4376000000.0,274000000.0,137000000.0,4513000000.0,33111000000,314000000.0,15935000000.0,4826000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894920000011/0001728949-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894920000011/qcom12291910-q.htm
2019-09-29,QCOM,2019-11-06 00:00:00,2019-11-06 16:08:43,Q4,11839000000.0,421000000.0,12260000000.0,2471000000,1400000000.0,634000000.0,16765000000,3081000000,6282000000.0,2172000000.0,8454000000.0,1130000000.0,0.0,3527000000.0,16192000000,4161000000.0,32957000000,1368000000.0,499000000.0,2088000000.0,565000000.0,2644000000.0,8935000000,13437000000.0,1160000000.0,2088000000.0,5676000000.0,19113000000.0,5676000000.0,28048000000,343000000.0,4466000000.0,100000000.0,-86000000.0,4909000000.0,32957000000,1551000000.0,15933000000.0,4094000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/qcom10-k2019.htm
2019-06-30,QCOM,2019-07-31 00:00:00,2019-07-31 16:13:42,Q3,13923000000.0,435000000.0,14358000000.0,2390000000,1774000000.0,682000000.0,19204000000,3037000000,6308000000.0,2350000000.0,8658000000.0,1130000000.0,0.0,2104000000.0,14929000000,2786000000.0,34133000000,1587000000.0,998000000.0,2114000000.0,527000000.0,3822000000.0,10853000000,13426000000.0,1251000000.0,2114000000.0,4391000000.0,17817000000.0,4391000000.0,28670000000,581000000.0,4687000000.0,195000000.0,9000000.0,5463000000.0,34133000000,1565000000.0,16426000000.0,2503000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894919000055/0001728949-19-000055-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000055/qcom06301910-q.htm
2019-03-31,QCOM,2019-05-01 00:00:00,2019-05-01 16:11:35,Q2,10135000000.0,195000000.0,10330000000.0,3638000000,1725000000.0,631000000.0,16324000000,2945000000,6299000000.0,2510000000.0,8809000000.0,1133000000.0,0.0,4812000000.0,17699000000,5443000000.0,34023000000,1667000000.0,0.0,1849000000.0,478000000.0,6082000000.0,10517000000,15405000000.0,1330000000.0,1849000000.0,4235000000.0,19640000000.0,4235000000.0,30157000000,384000000.0,3309000000.0,173000000.0,-13000000.0,3866000000.0,34023000000,1328000000.0,16403000000.0,6268000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894919000036/0001728949-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000036/qcom03311910-q.htm
2018-12-30,QCOM,2019-01-30 00:00:00,2019-01-30 16:08:22,Q1,10066000000.0,249000000.0,10315000000.0,3426000000,1698000000.0,855000000.0,16294000000,2932000000,6295000000.0,2746000000.0,9041000000.0,0.0,0.0,4885000000.0,17952000000,5740000000.0,34246000000,1422000000.0,0.0,2174000000.0,484000000.0,6160000000.0,10556000000,15388000000.0,1420000000.0,2174000000.0,4685000000.0,20073000000.0,4685000000.0,30629000000,0.0,3415000000.0,0.0,15000000.0,3617000000.0,34246000000,249000000.0,16386000000.0,6320000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894919000012/0001728949-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000012/qcom12301810-q.htm
2018-09-30,QCOM,2018-11-07 00:00:00,2018-11-07 16:15:48,Q4,11777000000.0,311000000.0,12088000000.0,2904000000,1693000000.0,699000000.0,17384000000,2975000000,6498000000.0,2955000000.0,9453000000.0,0.0,0.0,2906000000.0,15334000000,3605000000.0,32718000000,1825000000.0,1005000000.0,2312000000.0,500000000.0,6311000000.0,11389000000,15365000000.0,1620000000.0,2312000000.0,5157000000.0,20522000000.0,5157000000.0,31911000000,0.0,542000000.0,265000000.0,22000000.0,807000000.0,32718000000,311000000.0,16370000000.0,4593000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/qcom10-k2018.htm
2018-06-24,QCOM,2018-07-25 00:00:00,2018-07-25 16:10:05,Q3,35619000000.0,291000000.0,35910000000.0,3163000000,1785000000.0,3460000000.0,44318000000,3073000000,6630000000.0,3174000000.0,9804000000.0,35000000.0,0.0,4860000000.0,17772000000,8320000000.0,62090000000,1644000000.0,3190000000.0,2659000000.0,507000000.0,4766000000.0,16212000000,15378000000.0,1708000000.0,2659000000.0,7432000000.0,22810000000.0,7432000000.0,39022000000,0.0,22745000000.0,323000000.0,110000000.0,23068000000.0,62090000000,326000000.0,22481000000.0,-13138000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894918000075/0001728949-18-000075-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000075/qcom06241810-q.htm
2018-03-25,QCOM,2018-04-25 00:00:00,2018-04-25 16:07:36,Q2,37946000000.0,1625000000.0,39571000000.0,3535000000,1797000000.0,641000000.0,45544000000,3224000000,6676000000.0,3435000000.0,10111000000.0,35000000.0,0.0,5212000000.0,18582000000,5853000000.0,64126000000,1454000000.0,2234000000.0,3277000000.0,502000000.0,4823000000.0,12660000000,19361000000.0,1803000000.0,3277000000.0,8286000000.0,27647000000.0,8286000000.0,40307000000,495000000.0,22779000000.0,545000000.0,337000000.0,23819000000.0,64126000000,1660000000.0,23094000000.0,-14852000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894918000039/0001728949-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000039/qcom03251810-q.htm
