date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2020-06-27,AAPL,2020-07-31,2020-07-30 19:29:09,Q3,11253000000.0,2752000000.0,833000000.0,1698000000.0,-430000000.0,-2135000000.0,-689000000.0,2733000000.0,44747000000.0,1863000000.0,16271000000.0,-1565000000.0,-339000000.0,-46072000000.0,27183000000.0,15628000000.0,-5165000000.0,-7379000000.0,0.0,-15891000000.0,-3656000000.0,7810000000.0,-19116000000.0,0.0,-8010000000,32164000000,40174000000.0,16271000000.0,-1565000000.0,14706000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm
2020-03-28,AAPL,2020-05-01 00:00:00,2020-04-30 18:03:10,Q2,11249000000.0,2786000000.0,-302000000.0,1697000000.0,-2002000000.0,5269000000.0,727000000.0,-12431000000.0,47659000000.0,1580000000.0,13311000000.0,-1853000000.0,-176000000.0,-47716000000.0,40480000000.0,18278000000.0,9013000000.0,-4250000000.0,428000000.0,-18146000000.0,-3375000000.0,4831000000.0,-20940000000.0,0.0,1384000000,41155000000,39771000000.0,13311000000.0,-1853000000.0,11458000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/0000320193-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm
2019-12-28,AAPL,2020-01-29 00:00:00,2020-01-28 18:02:44,Q1,22236000000.0,2816000000.0,-349000000.0,1710000000.0,4245000000.0,2015000000.0,-28000000.0,-1089000000.0,61070000000.0,1568000000.0,30516000000.0,-2107000000.0,-958000000.0,-58199000000.0,27020000000.0,20576000000.0,-13668000000.0,-1000000000.0,2000000.0,-20704000000.0,-3539000000.0,-164000000.0,-25407000000.0,0.0,-8559000000,40285000000,48844000000.0,30516000000.0,-2107000000.0,28409000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/0000320193-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm
2019-09-28,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,Q4,13686000000.0,3179000000.0,-302000000.0,1499000000.0,2160000000.0,-8768000000.0,-785000000.0,17881000000.0,57101000000.0,1187000000.0,19910000000.0,-2777000000.0,-13000000.0,-36173000000.0,22425000000.0,15740000000.0,-798000000.0,-3305000000.0,390000000.0,-17054000000.0,-3479000000.0,2799000000.0,-21039000000.0,0.0,-1927000000,48603000000,50530000000.0,19910000000.0,-2777000000.0,17133000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
2019-06-29,AAPL,2019-07-31,2019-07-31 16:31:53,Q3,10044000000.0,2933000000.0,86000000.0,1496000000.0,-2798000000.0,919000000.0,1502000000.0,220000000.0,45269000000.0,1371000000.0,11636000000.0,-2000000000.0,-320000000.0,-25003000000.0,36784000000.0,18041000000.0,27502000000.0,-3000000000.0,1000000.0,-16954000000.0,-3629000000.0,-3221000000.0,-26804000000.0,0.0,12334000000,50322000000,37988000000.0,11636000000.0,-2000000000.0,9636000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm
2019-03-30,AAPL,2019-05-01 00:00:00,2019-05-01 16:32:00,Q2,11561000000.0,3040000000.0,-177000000.0,1514000000.0,-4622000000.0,2964000000.0,70000000.0,-11523000000.0,29574000000.0,1353000000.0,11155000000.0,-2363000000.0,-124000000.0,-30479000000.0,22589000000.0,23725000000.0,13348000000.0,-2500000000.0,390000000.0,-23312000000.0,-3443000000.0,-202000000.0,-29457000000.0,0.0,-4954000000,39817000000,44771000000.0,11155000000.0,-2363000000.0,8792000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/0000320193-19-000066-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm
2018-12-29,AAPL,2019-01-30 00:00:00,2019-01-30 16:31:37,Q1,19965000000.0,3395000000.0,53000000.0,1559000000.0,1772000000.0,5130000000.0,-1076000000.0,-8501000000.0,32545000000.0,1505000000.0,26690000000.0,-3355000000.0,-167000000.0,-15873000000.0,16926000000.0,8313000000.0,5844000000.0,4916000000.0,0.0,-8796000000.0,-3568000000.0,-1312000000.0,-13676000000.0,0.0,18858000000,44771000000,25913000000.0,26690000000.0,-3355000000.0,23335000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/0000320193-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/a10-qq1201912292018.htm
2018-09-29,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,Q4,14125000000.0,2754000000.0,519000000.0,1345000000.0,814000000.0,-9078000000.0,1942000000.0,20314000000.0,14473000000.0,1311000000.0,19523000000.0,-3041000000.0,-290000000.0,-19187000000.0,9634000000.0,9883000000.0,-3001000000.0,0.0,341000000.0,-18763000000.0,-3530000000.0,-287000000.0,-22580000000.0,0.0,-6058000000,25913000000,31971000000.0,19523000000.0,-3041000000.0,16482000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
2018-06-30,AAPL,2018-08-01 00:00:00,2018-08-01 16:31:48,Q3,11519000000.0,2665000000.0,1126000000.0,1351000000.0,-1914000000.0,233000000.0,1693000000.0,2081000000.0,27213000000.0,1092000000.0,14488000000.0,-3267000000.0,-126000000.0,-22571000000.0,14716000000.0,15195000000.0,3947000000.0,-6000000000.0,1000000.0,-20782000000.0,-3653000000.0,-1088000000.0,-31523000000.0,0.0,-13088000000,31971000000,45059000000.0,14488000000.0,-3267000000.0,11221000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/0000320193-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm
2018-03-31,AAPL,2018-05-02 00:00:00,2018-05-02 16:32:12,Q2,13822000000.0,2739000000.0,-498000000.0,1348000000.0,-2141000000.0,9093000000.0,-3241000000.0,-27808000000.0,40733000000.0,1208000000.0,15130000000.0,-4195000000.0,-132000000.0,-22662000000.0,17836000000.0,37863000000.0,28710000000.0,-500000000.0,327000000.0,-22429000000.0,-3190000000.0,-153000000.0,-26272000000.0,0.0,17568000000,45059000000,27491000000.0,15130000000.0,-4041000000.0,11089000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/0000320193-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm
