date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2020-07-26,NVDA,2020-08-19 00:00:00,2020-08-19 16:36:51,Q2,622000000.0,404000000.0,-80000000.0,374000000,256000000.0,44000000,54000000,-8000000,12271000000,365000000.0,1567000000.0,-217000000,-7137000000,-7426000000,1290000000,0,-13490000000.0,0,0,0.0,-99000000.0,-12418000000,-297000000.0,0,-12220000000.0,3274000000.0,15494000000,1567000000.0,-217000000.0,1350000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/0001045810-20-000147-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm
2020-04-26,NVDA,2020-05-21 00:00:00,2020-05-21 16:32:58,Q1,917000000.0,107000000.0,16000000.0,224000000,-359000000.0,-249000000,-151000000,71000000,17681000000,228000000.0,909000000.0,-155000000,-34000000,-867000000,1000000,0,-1055000000.0,0,0,88000000.0,-98000000.0,20336000000,4744000000.0,0,4598000000.0,15494000000.0,10896000000,909000000.0,-155000000.0,754000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/0001045810-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm
2020-01-26,NVDA,2020-02-20 00:00:00,2020-02-20 16:38:18,Q4,951000000.0,106000000.0,23000000.0,220000000,165000000.0,-201000000,66000000,103000000,11906000000,220000000.0,1465000000.0,-145000000,0,0,0,0,-151000000.0,0,0,3000000.0,-98000000.0,0,-183000000.0,0,1131000000.0,10896000000.0,9765000000,1465000000.0,-145000000.0,1320000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm
2019-10-27,NVDA,2019-11-14 00:00:00,2019-11-14 16:36:33,Q3,898000000.0,92000000.0,22000000.0,223000000,401000000.0,105000000,153000000,136000000,10945000000,227000000.0,1640000000.0,-103000000,0,0,0,0,1256000000.0,0,0,63000000.0,-97000000.0,0,-236000000.0,0,2660000000.0,9765000000.0,7105000000,1640000000.0,-103000000.0,1537000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000170/0001045810-19-000170-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000170/nvda2020q310q.htm
2019-07-28,NVDA,2019-08-15 00:00:00,2019-08-15 17:20:59,Q2,553000000.0,92000000.0,15000000.0,223000000,50000000.0,-319000000,225000000,78000000,10074000000,226000000.0,936000000.0,-113000000,0,-839000000,0,0,3545000000.0,0,0,0.0,-98000000.0,0,-148000000.0,0,4333000000.0,7105000000.0,2772000000,936000000.0,-113000000.0,823000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/0001045810-19-000144-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/nvda2020q210q.htm
2019-04-28,NVDA,2019-05-16 00:00:00,2019-05-16 16:36:34,Q1,394000000.0,91000000.0,-42000000.0,178000000,101000000.0,182000000,153000000,-123000000,9446000000,176000000.0,720000000.0,-128000000,0,-622000000,0,0,1495000000.0,0,0,83000000.0,-97000000.0,0,-225000000.0,0,1990000000.0,2772000000.0,782000000,720000000.0,-128000000.0,592000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000079/0001045810-19-000079-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000079/nvda2020q110q.htm
2019-01-27,NVDA,2019-02-21 00:00:00,2019-02-21 16:37:18,Q4,566000000.0,78000000.0,-345000000.0,157000000,452000000.0,794000000,-156000000,-359000000,9228000000,147000000.0,898000000.0,-203000000,0,-1036000000,0,0,40000000.0,0,0,-722000000.0,-98000000.0,0,-877000000.0,0,61000000.0,782000000.0,721000000,898000000.0,-203000000.0,695000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/nvda-2019x10k.htm
2018-10-28,NVDA,2018-11-15 00:00:00,2018-11-15 16:32:23,Q3,1230000000.0,68000000.0,-83000000.0,138000000,-853000000.0,-557000000,-325000000,52000000,9778000000,125000000.0,487000000.0,-150000000,0,-2976000000,0,0,219000000.0,0,0,-134000000.0,-91000000.0,0,-703000000.0,0,3000000.0,721000000.0,718000000,487000000.0,-150000000.0,337000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/0001045810-18-000150-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/nvda2019q310q.htm
2018-07-29,NVDA,2018-08-16 00:00:00,2018-08-16 16:31:19,Q2,1101000000.0,59000000.0,62000000.0,133000000,-428000000.0,-442000000,-293000000,150000000,9369000000,119000000.0,913000000.0,-129000000,0,-3431000000,0,0,-805000000.0,0,0,3000000.0,-91000000.0,0,-155000000.0,0,-47000000.0,718000000.0,765000000,913000000.0,-129000000.0,784000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000114/0001045810-18-000114-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000114/nvda2019q210q.htm
2018-04-29,NVDA,2018-05-22 00:00:00,2018-05-22 16:35:51,Q1,1244000000.0,57000000.0,51000000.0,129000000,-28000000.0,56000000,-2000000,22000000,8342000000,121000000.0,1445000000.0,-118000000,0,-3705000000,0,0,-3551000000.0,0,0,-589000000.0,-91000000.0,0,-1131000000.0,0,-3237000000.0,765000000.0,4002000000,1445000000.0,-118000000.0,1327000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000080/0001045810-18-000080-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000080/nvda2019q110q.htm
