acceptedDate,costAndExpenses,costOfRevenue,date,depreciationAndAmortization,ebitda,ebitdaratio,eps,epsdiluted,fillingDate,finalLink,generalAndAdministrativeExpenses,grossProfit,grossProfitRatio,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,interestExpense,link,netIncome,netIncomeRatio,operatingExpenses,operatingIncome,operatingIncomeRatio,otherExpenses,period,researchAndDevelopmentExpenses,revenue,sellingAndMarketingExpenses,symbol,totalOtherIncomeExpensesNet,weightedAverageShsOut,weightedAverageShsOutDil
2020-07-30 19:29:09,46594000000,37005000000,2020-06-27,2752000000.0,16586000000,0.277892,0.64601,0.64601,2020-07-31,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,4831000000,22680000000,0.379995,13137000000.0,0.220106,1884000000.0,697000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,11253000000.0,0.18854,9589000000,13091000000.0,0.219335,46000000.0,Q3,4758000000,59685000000,0.0,AAPL,-158000000.0,17419152000,17419152000
2020-04-30 18:03:10,45460000000,35943000000,2020-03-28,2786000000.0,16678000000,0.286008,0.63847,0.63847,2020-05-01 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm,4952000000,22370000000,0.383619,13135000000.0,0.22525,1886000000.0,757000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/0000320193-20-000052-index.html,11249000000.0,0.192907,9517000000,12853000000.0,0.220414,282000000.0,Q2,4565000000,58313000000,0.0,AAPL,-10000000.0,17618764000,17618764000
2020-01-28 18:02:44,66250000000,56602000000,2019-12-28,2816000000.0,29519000000,0.321491,1.24792,1.24792,2020-01-29 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm,5197000000,35217000000,0.383548,25918000000.0,0.282273,3682000000.0,785000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/0000320193-20-000010-index.html,22236000000.0,0.242172,9648000000,25569000000.0,0.278472,349000000.0,Q1,4451000000,91819000000,0.0,AAPL,89000000.0,17818416000,17818416000
2019-10-30 18:12:36,48415000000,39727000000,2019-09-28,3179000000.0,20116000000,0.314116,0.75691,0.75691,2019-10-31 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,4578000000,24313000000,0.379653,16127000000.0,0.251827,2441000000.0,810000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,13686000000.0,0.21371,8688000000,15625000000.0,0.243988,502000000.0,Q4,4110000000,64040000000,0.0,AAPL,206000000.0,18081500000,18081500000
2019-07-31 16:31:53,42265000000,33582000000,2019-06-29,2933000000.0,15710000000,0.291959,0.54571,0.54571,2019-07-31,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm,4426000000,20227000000,0.375904,11911000000.0,0.221357,1867000000.0,866000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm,10044000000.0,0.18666,8683000000,11544000000.0,0.214537,367000000.0,Q3,4257000000,53809000000,0.0,AAPL,43000000.0,18405520000,18405520000
2019-05-01 16:32:00,44600000000,36194000000,2019-03-30,3040000000.0,17843000000,0.307558,0.61486,0.61486,2019-05-01 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm,4458000000,21821000000,0.376127,13793000000.0,0.237749,2232000000.0,1010000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/0000320193-19-000066-index.html,11561000000.0,0.199276,8406000000,13415000000.0,0.231233,378000000.0,Q2,3948000000,58015000000,0.0,AAPL,30000000.0,18802584000,18802584000
2019-01-30 16:31:37,60964000000,52279000000,2018-12-29,3395000000.0,28191000000,0.334373,1.04567,1.04567,2019-01-30 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/a10-qq1201912292018.htm,4783000000,32031000000,0.379919,23906000000.0,0.283549,3941000000.0,890000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/0000320193-19-000010-index.html,19965000000.0,0.236805,8685000000,23346000000.0,0.276907,560000000.0,Q1,3902000000,84310000000,0.0,AAPL,143000000.0,19093008000,19093008000
2018-11-05 08:01:40,46782000000,38816000000,2018-09-29,2754000000.0,21143000000,0.336137,0.72839,0.72839,2018-11-05 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,4216000000,24084000000,0.382893,16421000000.0,0.261065,3396000000.0,868000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,14125000000.0,0.224563,7966000000,16118000000.0,0.256248,-1702000000.0,Q4,3750000000,62900000000,0.0,AAPL,-140000000.0,19392000000,19392000000
2018-08-01 16:31:48,40653000000,32844000000,2018-06-30,2665000000.0,16795000000,0.31531,0.58448,0.58448,2018-08-01 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm,4108000000,20421000000,0.383385,13284000000.0,0.249395,1765000000.0,846000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/0000320193-18-000100-index.html,11519000000.0,0.216258,7809000000,12612000000.0,0.236778,672000000.0,Q3,3701000000,53265000000,0.0,AAPL,100000000.0,19708000000,19708000000
2018-05-02 16:32:12,45243000000,37715000000,2018-03-31,2739000000.0,19699000000,0.322211,0.68183,0.68183,2018-05-02 00:00:00,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm,4150000000,23422000000,0.383107,16168000000.0,0.264455,2346000000.0,792000000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/0000320193-18-000070-index.html,13822000000.0,0.226082,7528000000,15894000000.0,0.259974,274000000.0,Q2,3378000000,61137000000,0.0,AAPL,-439000000.0,20272000000,20272000000
