,AAPL
Today,2020-10-24 19:48:02
beta,1.337
volAvg,17230
lastDiv,0.782
dcf,127.3
ipoDate,1980
industry,Consumer Electronics
sector,Technology
marketCap,196747
price,115.04
priceAvg50,115.00
priceAvg200,97.227
EPS,3.296
bookValuePerShare,4.149
roe,0.155
roic,0.059
sharesOutstanding,171024
Latest report date,2020-06-27
currentRatio,1.469
quickRatio,1.312
debtToAssets,0.772
debtToEquity,3.390
cashRatio,0.350
grossProfitMargin,0.379
operatingProfitMargin,0.219
netProfitMargin,0.188
returnOnAssets,0.035
returnOnEquity,0.155
researchAndDdevelopementToRevenue,0.079
operatingCashFlowPerShare,0.934
freeCashFlowPerShare,0.844
enterpriseValue,16124
enterpriseValueOverEBITDA,97.21
