                                                   AAPL
Today                               2020-10-18 11:39:52
beta                                              1.337
volAvg                                            17437
lastDiv                                           0.782
dcf                                               131.2
ipoDate                                            1980
industry                           Consumer Electronics
sector                                       Technology
marketCap                                        203553
price                                            119.02
priceAvg50                                       116.45
priceAvg200                                      95.526
EPS                                               3.296
bookValuePerShare                                 4.149
roe                                               0.155
roic                                              0.059
sharesOutstanding                                171024
Latest report date                           2020-06-27
currentRatio                                      1.469
quickRatio                                        1.312
debtToAssets                                      0.772
debtToEquity                                      3.390
cashRatio                                         0.350
grossProfitMargin                                 0.379
operatingProfitMargin                             0.219
netProfitMargin                                   0.188
returnOnAssets                                    0.035
returnOnEquity                                    0.155
researchAndDdevelopementToRevenue                 0.079
operatingCashFlowPerShare                         0.934
freeCashFlowPerShare                              0.844
enterpriseValue                                   16124
enterpriseValueOverEBITDA                         97.21
