                                                  NVDA                  AMD                 INTC
Today                              2020-10-25 13:43:41  2020-10-25 13:43:44  2020-10-25 13:43:48
beta                                             1.539                2.268                0.679
volAvg                                           13045                57036                33905
lastDiv                                           0.64                  0.0                 1.29
dcf                                              558.6                80.50                54.43
ipoDate                                           1999                 1979                 1971
industry                                Semiconductors       Semiconductors       Semiconductors
sector                                      Technology           Technology           Technology
marketCap                                       335795               962259               197523
price                                           543.61                81.96                 48.2
priceAvg50                                      527.08               80.770               51.376
priceAvg200                                     419.04               66.793               55.505
EPS                                              5.444                0.514                5.109
bookValuePerShare                                22.22                2.693                17.61
roe                                              0.044                0.047                0.057
roic                                             0.026                0.038                0.040
sharesOutstanding                               617713               117406               409800
Latest report date                          2020-07-26           2020-06-27           2020-09-26
grossProfitMargin                                0.588                0.438                0.531
operatingProfitMargin                            0.168                0.089                0.275
netProfitMargin                                  0.160                0.081                0.233
returnOnAssets                                   0.024                0.023                0.029
returnOnEquity                                   0.044                0.047                0.057
researchAndDdevelopementToRevenue                0.257                0.238                0.178
currentRatio                                     6.091                2.099                1.663
quickRatio                                       5.421                1.464                0.609
debtToAssets                                     0.447                0.497                0.486
debtToEquity                                     0.809                0.991                0.948
cashRatio                                        1.358                0.729                0.151
interestCoverage                                 11.49                11.42                31.50
grossProfitMargin                                0.588                0.438                0.531
operatingProfitMargin                            0.168                0.089                0.275
netProfitMargin                                  0.160                0.081                0.233
returnOnAssets                                   0.024                0.023                0.029
returnOnEquity                                   0.044                0.047                0.057
researchAndDdevelopementToRevenue                0.257                0.238                0.178
operatingCashFlowPerShare                        2.503                0.198                1.932
freeCashFlowPerShare                             2.156                0.123                1.054
enterpriseValue                                  26456                60387                24460
enterpriseValueOverEBITDA                        248.1                244.4                29.89
grossProfitMargin_ttm                            0.628                0.443                0.565
operatingProfitMargin_ttm                        0.271                0.093                0.314
netProfitMargin_ttm                              0.259                0.079                0.281
returnOnAssets_ttm                               0.134                0.092                0.151
returnOnEquity_ttm                               0.243                0.184                0.294
currentRatio_ttm                                 6.091                2.099                1.663
quickRatio_ttm                                   5.421                1.464                0.609
cashRatio_ttm                                    1.358                0.729                0.151
operatingCashFlowPerShare_ttm                    2.619                0.190                2.335
freeCashFlowPerShare_ttm                         2.455                0.145                1.233
