                                                  NVDA
Today                              2020-10-24 19:25:21
beta                                             1.539
volAvg                                           13026
lastDiv                                           0.64
dcf                                              558.6
ipoDate                                           1999
industry                                Semiconductors
sector                                      Technology
marketCap                                       335795
price                                           543.61
priceAvg50                                      526.44
priceAvg200                                     417.90
EPS                                              5.444
bookValuePerShare                                22.22
roe                                              0.044
roic                                             0.026
sharesOutstanding                               617713
Latest report date                          2020-07-26
currentRatio                                     6.091
quickRatio                                       5.421
debtToAssets                                     0.447
debtToEquity                                     0.809
cashRatio                                        1.358
grossProfitMargin                                0.588
operatingProfitMargin                            0.168
netProfitMargin                                  0.160
returnOnAssets                                   0.024
returnOnEquity                                   0.044
researchAndDdevelopementToRevenue                0.257
operatingCashFlowPerShare                        2.503
freeCashFlowPerShare                             2.156
enterpriseValue                                  26456
enterpriseValueOverEBITDA                        248.1
