                                                  PYPL
Today                              2020-10-24 22:17:18
beta                                             1.075
volAvg                                           81409
lastDiv                                            0.0
dcf                                              219.2
ipoDate                                           2015
industry                               Credit Services
sector                              Financial Services
marketCap                                       238226
price                                           203.04
priceAvg50                                      193.21
priceAvg200                                     169.89
EPS                                              2.179
bookValuePerShare                                14.89
roe                                              0.086
roic                                             0.061
sharesOutstanding                               117329
Latest report date                          2020-06-30
currentRatio                                     1.378
quickRatio                                       1.353
debtToAssets                                     0.720
debtToEquity                                     2.580
cashRatio                                        0.188
grossProfitMargin                                0.485
operatingProfitMargin                            0.180
netProfitMargin                                  0.290
returnOnAssets                                   0.024
returnOnEquity                                   0.086
researchAndDdevelopementToRevenue                0.119
operatingCashFlowPerShare                        2.012
freeCashFlowPerShare                             1.849
enterpriseValue                                  20886
enterpriseValueOverEBITDA                        97.10
