                                                  QCOM
Today                              2020-10-24 21:01:25
beta                                             1.380
volAvg                                           91162
lastDiv                                           2.54
dcf                                              138.2
ipoDate                                           1991
industry                                Semiconductors
sector                                      Technology
marketCap                                       145411
price                                           128.88
priceAvg50                                      119.47
priceAvg200                                     98.196
EPS                                              2.355
bookValuePerShare                                2.902
roe                                              0.255
roic                                             0.035
sharesOutstanding                               112827
Latest report date                          2020-06-28
currentRatio                                     1.965
quickRatio                                       1.572
debtToAssets                                     0.897
debtToEquity                                     8.778
cashRatio                                        0.773
grossProfitMargin                                0.574
operatingProfitMargin                            0.169
netProfitMargin                                  0.172
returnOnAssets                                   0.026
returnOnEquity                                   0.255
researchAndDdevelopementToRevenue                0.310
operatingCashFlowPerShare                        1.643
freeCashFlowPerShare                             1.276
enterpriseValue                                  11064
enterpriseValueOverEBITDA                        80.58
