date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-06-27,AAPL,2020-07-31,2020-07-30 19:29:09,Q3,59685000000,37005000000,22680000000,0.379995,4758000000,4831000000,0.0,46000000.0,9589000000,46594000000,697000000.0,2752000000.0,16586000000,0.277892,13091000000.0,0.219335,-158000000.0,13137000000.0,0.220106,1884000000.0,11253000000.0,0.18854,0.64601,0.64601,17419152000,17419152000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm
2020-03-28,AAPL,2020-05-01 00:00:00,2020-04-30 18:03:10,Q2,58313000000,35943000000,22370000000,0.383619,4565000000,4952000000,0.0,282000000.0,9517000000,45460000000,757000000.0,2786000000.0,16678000000,0.286008,12853000000.0,0.220414,-10000000.0,13135000000.0,0.22525,1886000000.0,11249000000.0,0.192907,0.63847,0.63847,17618764000,17618764000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/0000320193-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm
2019-12-28,AAPL,2020-01-29 00:00:00,2020-01-28 18:02:44,Q1,91819000000,56602000000,35217000000,0.383548,4451000000,5197000000,0.0,349000000.0,9648000000,66250000000,785000000.0,2816000000.0,29519000000,0.321491,25569000000.0,0.278472,89000000.0,25918000000.0,0.282273,3682000000.0,22236000000.0,0.242172,1.24792,1.24792,17818416000,17818416000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/0000320193-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm
2019-09-28,AAPL,2019-10-31 00:00:00,2019-10-30 18:12:36,Q4,64040000000,39727000000,24313000000,0.379653,4110000000,4578000000,0.0,502000000.0,8688000000,48415000000,810000000.0,3179000000.0,20116000000,0.314116,15625000000.0,0.243988,206000000.0,16127000000.0,0.251827,2441000000.0,13686000000.0,0.21371,0.75691,0.75691,18081500000,18081500000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
2019-06-29,AAPL,2019-07-31,2019-07-31 16:31:53,Q3,53809000000,33582000000,20227000000,0.375904,4257000000,4426000000,0.0,367000000.0,8683000000,42265000000,866000000.0,2933000000.0,15710000000,0.291959,11544000000.0,0.214537,43000000.0,11911000000.0,0.221357,1867000000.0,10044000000.0,0.18666,0.54571,0.54571,18405520000,18405520000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm
2019-03-30,AAPL,2019-05-01 00:00:00,2019-05-01 16:32:00,Q2,58015000000,36194000000,21821000000,0.376127,3948000000,4458000000,0.0,378000000.0,8406000000,44600000000,1010000000.0,3040000000.0,17843000000,0.307558,13415000000.0,0.231233,30000000.0,13793000000.0,0.237749,2232000000.0,11561000000.0,0.199276,0.61486,0.61486,18802584000,18802584000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/0000320193-19-000066-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm
2018-12-29,AAPL,2019-01-30 00:00:00,2019-01-30 16:31:37,Q1,84310000000,52279000000,32031000000,0.379919,3902000000,4783000000,0.0,560000000.0,8685000000,60964000000,890000000.0,3395000000.0,28191000000,0.334373,23346000000.0,0.276907,143000000.0,23906000000.0,0.283549,3941000000.0,19965000000.0,0.236805,1.04567,1.04567,19093008000,19093008000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/0000320193-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/a10-qq1201912292018.htm
2018-09-29,AAPL,2018-11-05 00:00:00,2018-11-05 08:01:40,Q4,62900000000,38816000000,24084000000,0.382893,3750000000,4216000000,0.0,-1702000000.0,7966000000,46782000000,868000000.0,2754000000.0,21143000000,0.336137,16118000000.0,0.256248,-140000000.0,16421000000.0,0.261065,3396000000.0,14125000000.0,0.224563,0.72839,0.72839,19392000000,19392000000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
2018-06-30,AAPL,2018-08-01 00:00:00,2018-08-01 16:31:48,Q3,53265000000,32844000000,20421000000,0.383385,3701000000,4108000000,0.0,672000000.0,7809000000,40653000000,846000000.0,2665000000.0,16795000000,0.31531,12612000000.0,0.236778,100000000.0,13284000000.0,0.249395,1765000000.0,11519000000.0,0.216258,0.58448,0.58448,19708000000,19708000000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/0000320193-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm
2018-03-31,AAPL,2018-05-02 00:00:00,2018-05-02 16:32:12,Q2,61137000000,37715000000,23422000000,0.383107,3378000000,4150000000,0.0,274000000.0,7528000000,45243000000,792000000.0,2739000000.0,19699000000,0.322211,15894000000.0,0.259974,-439000000.0,16168000000.0,0.264455,2346000000.0,13822000000.0,0.226082,0.68183,0.68183,20272000000,20272000000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/0000320193-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm
