date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-07-26,NVDA,2020-08-19 00:00:00,2020-08-19 16:36:51,Q2,3866000000.0,1591000000.0,2275000000.0,0.588464,997000000.0,627000000.0,0.0,0.0,1624000000.0,3215000000.0,53000000.0,404000000.0,1066000000.0,0.275737,651000000.0,0.168391,-1000000.0,609000000.0,0.157527,-13000000.0,622000000.0,0.16089,0.99361,0.99361,626000000,626000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/0001045810-20-000147-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm
2020-04-26,NVDA,2020-05-21 00:00:00,2020-05-21 16:32:58,Q1,3080000000.0,1076000000.0,2004000000.0,0.650649,735000000.0,293000000.0,0.0,0.0,1028000000.0,2104000000.0,25000000.0,107000000.0,1113000000.0,0.361364,976000000.0,0.316883,-1000000.0,981000000.0,0.318506,64000000.0,917000000.0,0.297727,1.47428,1.47428,622000000,622000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/0001045810-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm
2020-01-26,NVDA,2020-02-20 00:00:00,2020-02-20 16:38:18,Q4,3105000000.0,1090000000.0,2015000000.0,0.648953,738000000.0,287000000.0,0.0,26000000.0,1025000000.0,2115000000.0,13000000.0,106000000.0,1135000000.0,0.365539,990000000.0,0.318841,-2000000.0,1016000000.0,0.327214,65000000.0,951000000.0,0.30628,1.5314,1.5314,621000000,621000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm
2019-10-27,NVDA,2019-11-14 00:00:00,2019-11-14 16:36:33,Q3,3014000000.0,1098000000.0,1916000000.0,0.6357,712000000.0,277000000.0,0.0,32000000.0,989000000.0,2087000000.0,12000000.0,92000000.0,1063000000.0,0.352687,927000000.0,0.307565,0.0,959000000.0,0.318182,60000000.0,899000000.0,0.298275,1.45469,1.45469,618000000,618000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000170/0001045810-19-000170-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000170/nvda2020q310q.htm
2019-07-28,NVDA,2019-08-15 00:00:00,2019-08-15 17:20:59,Q2,2579000000.0,1038000000.0,1541000000.0,0.597518,704000000.0,266000000.0,0.0,35000000.0,970000000.0,2008000000.0,14000000.0,92000000.0,712000000.0,0.276076,571000000.0,0.221404,1000000.0,606000000.0,0.234975,54000000.0,552000000.0,0.214036,0.8961,0.8961,616000000,616000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/0001045810-19-000144-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/nvda2020q210q.htm
2019-04-28,NVDA,2019-05-16 00:00:00,2019-05-16 16:36:34,Q1,2220000000.0,924000000.0,1296000000.0,0.583784,674000000.0,264000000.0,0.0,31000000.0,938000000.0,1862000000.0,13000000.0,91000000.0,493000000.0,0.222072,358000000.0,0.161261,0.0,389000000.0,0.175225,-5000000.0,394000000.0,0.177477,0.63961,0.63961,616000000,616000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000079/0001045810-19-000079-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000079/nvda2020q110q.htm
2019-01-27,NVDA,2019-02-21 00:00:00,2019-02-21 16:37:18,Q4,2205000000.0,998000000.0,1207000000.0,0.547392,647000000.0,266000000.0,0.0,30000000.0,913000000.0,1911000000.0,14000000.0,78000000.0,646000000.0,0.292971,294000000.0,0.133333,2000000.0,324000000.0,0.146939,-12000000.0,566000000.0,0.256689,0.90997,0.90997,622000000,622000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/nvda-2019x10k.htm
2018-10-28,NVDA,2018-11-15 00:00:00,2018-11-15 16:32:23,Q3,3181000000.0,1260000000.0,1921000000.0,0.603898,605000000.0,258000000.0,0.0,23000000.0,863000000.0,2123000000.0,15000000.0,68000000.0,1302000000.0,0.409305,1058000000.0,0.3326,1000000.0,1081000000.0,0.33983,-11000000.0,1230000000.0,0.386671,1.968,1.968,625000000,625000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/0001045810-18-000150-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/nvda2019q310q.htm
2018-07-29,NVDA,2018-08-16 00:00:00,2018-08-16 16:31:19,Q2,3123000000.0,1148000000.0,1975000000.0,0.632405,581000000.0,237000000.0,0.0,23000000.0,818000000.0,1966000000.0,14000000.0,59000000.0,1253000000.0,0.401217,1157000000.0,0.370477,5000000.0,1180000000.0,0.377842,79000000.0,1101000000.0,0.352546,1.75879,1.75879,626000000,626000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000114/0001045810-18-000114-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000114/nvda2019q210q.htm
2018-04-29,NVDA,2018-05-22 00:00:00,2018-05-22 16:35:51,Q1,3207000000.0,1139000000.0,2068000000.0,0.644839,542000000.0,231000000.0,0.0,16000000.0,773000000.0,1912000000.0,15000000.0,57000000.0,1383000000.0,0.431244,1295000000.0,0.403804,6000000.0,1311000000.0,0.408793,67000000.0,1244000000.0,0.387901,1.98405,1.98405,627000000,627000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000080/0001045810-18-000080-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000080/nvda2019q110q.htm
