date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-06-30,XOM,2020-08-05 00:00:00,2020-08-05 14:03:10,Q2,32277000000,20964000000.0,11313000000,0.350497,214000000,7563000000,0.0,271000000.0,12964000000,33928000000,317000000,4916000000,3682000000,0.114075,-1651000000,-0.051151,225000000.0,-1640000000,-0.05081,-471000000,-1080000000,-0.03346,-0.25287,-0.25287,4271000000,4271000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000073/0000034088-20-000073-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408820000073/xom10q2q2020.htm
2020-03-31,XOM,2020-05-06 00:00:00,2020-05-06 14:06:03,Q1,55134000000,40380000000.0,14754000000,0.267603,288000000,9411000000,0.0,269000000.0,15787000000,56167000000,249000000,5819000000,5970000000,0.108282,-1033000000,-0.018736,249000000.0,-258000000,-0.00468,512000000,-610000000,-0.011064,-0.14286,-0.14286,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000037/0000034088-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408820000037/xom10q1q2020.htm
2019-12-31,XOM,2020-02-26 00:00:00,2020-02-26 16:15:19,Q4,63024000000,44254000000.0,18770000000,0.297823,357000000,10817000000,0.0,207000000.0,16304000000,60558000000,201000000,4923000000,12238000000,0.19418,2466000000,0.039128,2972000000.0,6414000000,0.101771,1424000000,5690000000,0.090283,1.33255,1.33255,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/0000034088-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/xom10k2019.htm
2019-09-30,XOM,2019-11-06 00:00:00,2019-11-06 13:34:22,Q3,63422000000,44138000000.0,19284000000,0.304059,299000000,10429000000,0.0,357000000.0,15958000000,60096000000,232000000,4873000000,9749000000,0.153716,3326000000,0.052442,431000000.0,4721000000,0.074438,1474000000,3170000000,0.049983,0.74221,0.74221,4271000000,4271000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000062/0000034088-19-000062-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000062/xom10q3q2019.htm
2019-06-30,XOM,2019-08-07 00:00:00,2019-08-07 12:55:10,Q2,67491000000,48464000000.0,19027000000,0.281919,333000000,10502000000,0.0,313000000.0,15779000000,64243000000,216000000,4631000000,9218000000,0.136581,3248000000,0.048125,241000000.0,4632000000,0.068631,1241000000,3130000000,0.046377,0.73285,0.73285,4271000000,4271000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/0000034088-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/xom10q2q2019.htm
2019-03-31,XOM,2019-05-02 00:00:00,2019-05-02 13:44:33,Q1,61646000000,43771000000.0,17875000000,0.289962,280000000,10175000000,0.0,358000000.0,15384000000,59155000000,181000000,4571000000,8985000000,0.145752,2491000000,0.040408,270000000.0,4289000000,0.069575,1883000000,2350000000,0.038121,0.55035,0.55035,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000017/0000034088-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000017/xom10q1q2019.htm
2018-12-31,XOM,2019-02-27 00:00:00,2019-02-27 16:19:37,Q4,68253000000,46957000000.0,21296000000,0.312016,555000000,10686000000,0.0,333000000.0,16602000000,63559000000,215000000,5028000000,13178000000,0.193076,4694000000,0.068774,1886000000.0,8121000000,0.118984,1935000000,6000000000,0.087908,1.40614,1.40614,4267000000,4267000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/0000034088-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/xom10k2018.htm
2018-09-30,XOM,2018-11-07 00:00:00,2018-11-07 12:29:54,Q3,74187000000,50873000000.0,23314000000,0.31426,292000000,11195000000,0.0,307000000.0,16452000000,67325000000,200000000,4658000000,13732000000,0.1851,6862000000,0.092496,458000000.0,9080000000,0.122393,2634000000,6240000000,0.084112,1.46102,1.46102,4271000000,4271000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000048/0000034088-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408818000048/xom10q3q2018.htm
2018-06-30,XOM,2018-08-02 00:00:00,2018-08-02 12:13:22,Q2,71456000000,50245000000.0,21211000000,0.29684,332000000,11368000000,0.0,308000000.0,16597000000,66842000000,147000000,4589000000,11212000000,0.156908,4614000000,0.064571,316000000.0,6512000000,0.091133,2526000000,3950000000,0.055279,0.92484,0.92484,4271000000,4271000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000039/0000034088-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408818000039/xom10q2q2018.htm
2018-03-31,XOM,2018-05-03 00:00:00,2018-05-03 12:16:43,Q1,65436000000,44779000000.0,20657000000,0.315682,287000000,10894000000,0.0,337000000.0,15988000000,60767000000,204000000,4470000000,11781000000,0.180039,4669000000,0.071352,865000000.0,7240000000,0.110642,2457000000,4650000000,0.071062,1.08899,1.08899,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000024/0000034088-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408818000024/xom10q1q2018.htm
