symbol,date,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
SNP,2020-04-29,0.0015745964165336172,0.0,0.0002872095086038673,0.0002872095086038673,0.013446868901898173,0.1263704097924428,0.31910998758204717,0.1263704097924428,0.03527550115309562,267926610000.0,268045762000.0,,30185.51261829653,165488.94996911674,165488.94996911674,376.1165297957465,376.1165297957465,30198.936683190626,35601.774737680964,165562.5460160593,165562.5460160593,0.0,6.04269952880007e-06,1.3474738541447322,0.5310386110617807,15.825740470181962,0.7759399060797852,1.932494866529774,,3.2658196959234473e-06,,0.0,0.0,0.00482202597011738,,,,0.0,0.0,0.006444555339377012,0.0,-0.13335994323221573,-143234000.0,838950000.0,-463841000.0,,296123000,-961709000.0,942638500,2230.7109058134297,,,0.16362496773955684,0.0,0.0,0.0,0.0
SNP,2019-12-31,0.0030891986601647337,0.0127770008663095,0.026315304020711965,0.026315304020711965,0.0010027124498111644,0.0,0.0037259822608762283,0.0,0.015038735599644394,307480594320000.0,307555983320000.0,4268.607364957727,17655.063982544787,2072.558232923064,2072.5582329230647,,,17659.39270326137,3500.4436880562703,2073.0663888701656,2073.0663888701656,0.0002342684427266135,0.0004824954899287122,,37.33961863507029,0.8580387425735813,-2.6448412698412698,24.031801175841796,2.059583801868588,-0.00015333975825131677,-0.6545472214124082,0.0,0.0,0.10791183590266276,,,,0.0,0.0,3.26070560934044,3.429163096258212,-0.15473105382541982,14696000000.0,-858230000000.0,-868572000000.0,,538000000,-2092000000.0,1702000000,11.275264124942582,,,32.37174721189591,0.0,0.0,,0.0
SNP,2019-10-30,,,,,,,,,,,36414000.0,,,,0.0,,,2.258092521394022,4.29613025011798,-0.5671255918265636,-0.5671255918265636,,,1.313481463521483,0.5220545397999053,4.29613025011798,0.8948893096319688,2.3358673116793365,,,,0.0,0.0,0.004766373766930072,,,,0.0,,0.008254290765939573,0.0,,-62844000.0,864184000.0,-418407000.0,,307078500,-937222000.0,955370000,1723.7569763115464,,,0.21174678624420604,0.0,0.0,0.0,
SNP,2019-08-26,,,,,,,,,,,42234000.0,,,,0.0,,,2.626002611453087,-5.649277688603531,0.6164377563382132,0.6164377563382132,,,1.3221789420721761,0.5241721899668191,-5.649277688603531,0.8999446678834226,-0.9961030526087897,,,,0.0,0.0,0.06127698516860336,,,,0.0,,-0.0037731361888126225,0.0,,-60577000.0,756491000.0,-411675000.0,,305227500,-933491500.0,962445500,1644.3496238264006,,,0.22197225864329584,0.0,0.0,0.0,
SNP,2019-06-30,448.34901960784316,0.0,21.431372549019606,0.0,58.879919966317644,413.1333333333333,1026.454937606627,413.1333333333333,175.77266121635884,16858050000.0,47306596662.89171,,0.14745209002090456,3.0847301006404395,,0.16002097789252864,0.16002097789252864,0.4137760031391135,,8.65628484224917,,0.0,0.0,1.2980854113470466,0.5198984169467298,,0.8999466896543902,-5.775633573587512,,,,0.0,0.0,0.004904237101803936,-0.882020658489348,-18.452065848934797,-1.2564557779212395,0.0,0.0,0.0211673039901946,0.0,-340.2199276915314,-8821000000.0,124994009089.68991,-57410000000.0,,11778000000,33127500000.0,32604500000,36.93131226547945,,,9.883212309820193,0.0,0.0,0.0,-24.298039215686273
SNP,2019-04-29,0.0028485385296722764,0.0,0.00013410097431355183,0.00013410097431355183,0.017849424269264835,0.12725509300265722,0.31571567759078834,0.12725509300265722,0.018722586359610275,400625650000.0,400626278000.0,,24914.530472636816,529228.071334214,529228.071334214,557.6987005032331,557.6987005032331,24914.569527363183,-150385.2394894895,529228.9009247028,529228.9009247028,0.0,1.8895445161836242e-06,1.2990972430065915,0.5210941932198393,-0.23573573573573572,0.9366039846839146,-1.287840037200651,,3.6842373921889425e-06,,0.0,0.0,0.004833957982480043,,,,0.0,0.0,-0.004557842385383306,0.0,-0.11730558015943313,-36491000.0,849002000.0,-394100000.0,,309232000,-936915000.0,960915000,1826.452736318408,,,0.1998409226486379,0.0,0.0,0.0,0.0
SNP,2019-03-31,419.85490196078433,0.0,-7.658823529411765,0.0,63.80392156862745,431.53333333333336,1028.26572370668,431.53333333333336,171.2083917622996,21884100000.0,49460672246.9394,,0.2044039490767118,-11.20537634408602,,0.19887223852927544,0.19887223852927544,0.46197726802853833,,-25.325485021474346,,0.0,0.0,1.2361756072736525,0.5089286048330072,,0.9366014062663977,5.496141975308695,,,,0.0,0.0,0.0190029461021172,0.5988960441582337,-32.83134007973015,-1.1895124195032198,0.0,0.0,-0.0057051856181525714,0.0,-338.75582388121137,-5437000000.0,126177759545.2034,-55708000000.0,,11988000000,32505000000.0,32752000000,40.86958146138255,,,8.930847514180847,0.0,0.0,0.0,-12.788235294117648
SNP,2018-12-31,0.0031530370697052863,0.013974000993626444,0.027845274119573465,0.027845274119573465,0.0010012424758478813,0.0,0.003720519980127471,0.0,0.010665986537335824,476803433250000.0,476856704250000.0,6043.365821894369,26783.700328614763,3032.8306210006745,3032.8306210006745,,,26786.692745197168,-91037.93513745704,3033.1694648695407,3033.1694648695407,0.00016547070448343922,0.0003297249747729244,,31.246995370960207,-10.170103092783505,-2.6448412698412698,76.47376543209876,1.9926486431676742,-0.00014452706334408508,-0.8734299149524063,0.0,0.0,0.10791183590266276,,,,0.0,0.0,3.593676347945901,3.755926878034847,-0.12909448041395788,14696000000.0,-714767000000.0,-725109000000.0,,538000000,-2092000000.0,1702000000,11.030783058083362,,,33.089219330855016,0.0,0.0,,0.0
SNP,2018-10-30,,,,,,,,,,,-228938000.0,,,,0.0,,,-4.79310777991793,1876.5409836065573,-12.272863728958937,-12.272863728958937,,,1.1075954186319856,0.48114881281724364,1876.5409836065573,0.9860849919346132,0.0,,,,0.0,0.0,0.06500697635257043,,,,0.0,,0.0,0.0,,-8635000.0,754634000.0,-188117000.0,,321597000,-927086000.0,957699000,803.8650448036178,,,0.4540563149989543,0.0,0.0,0.0,
SNP,2018-09-30,,,,,,,,,,,-5390672029.609501,,,,,,,-0.04770421788649317,,-0.2444527493927762,,,,1.0831515890324854,0.4755358203089068,,0.9860858977197254,-16.31770045386021,,,,0.0,0.0,0.021177274590397047,-2.849831997932282,-14.603515120186094,-0.5319203928663737,0.0,,0.03284563593486017,0.0,,-1257000000.0,120369115945.31311,-24649000000.0,,13651000000,33564000000.0,31909000000,49.464699739827616,,,7.378999608201646,0.0,0.0,0.0,
