symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,408295113000.0,Technology,Semiconductors,0.602506,88.31,2.848502,10775915,New York Stock Exchange,NYSE
NVDA,NVIDIA Corp,335795487000.0,Technology,Semiconductors,1.53923,543.61,0.64,13026398,Nasdaq Global Select,NASDAQ
INTC,Intel Corp,197523603000.0,Technology,Semiconductors,0.67973,48.2,1.29,36188360,Nasdaq Global Select,NASDAQ
AVGO,Broadcom Inc,150765617000.0,Technology,Semiconductors,0.98823,372.72,12.4,1842436,Nasdaq Global Select,NASDAQ
QCOM,Qualcomm Inc,145411441000.0,Technology,Semiconductors,1.38043,128.88,2.54,9116246,Nasdaq Global Select,NASDAQ
TXN,Texas Instruments Inc,137654583000.0,Technology,Semiconductors,1.1028,149.96,3.47,3988664,Nasdaq Global Select,NASDAQ
AMD,Advanced Micro Devices Inc,96225960000.0,Technology,Semiconductors,2.26866,81.96,0.0,59317844,NASDAQ Capital Market,NASDAQ
MU,Micron Technology Inc,58833674000.0,Technology,Semiconductors,1.30831,52.85,0.0,19056515,Nasdaq Global Select,NASDAQ
ADI,Analog Devices Inc,45899350000.0,Technology,Semiconductors,1.3131,124.2,2.32,3196838,Nasdaq Global Select,NASDAQ
NXPI,NXP Semiconductors NV,38303945000.0,Technology,Semiconductors,1.56646,137.18,1.5,2071753,Nasdaq Global Select,NASDAQ
STM,STMicroelectronics N.V.,30528770000.0,Technology,Semiconductors,1.228479,34.01,0.222,2530484,New York Stock Exchange,NYSE
XLNX,Xilinx Inc,28627793900.0,Technology,Semiconductors,0.957,116.82,1.49,2510340,Nasdaq Global Select,NASDAQ
MCHP,Microchip Technology Inc,28405897200.0,Technology,Semiconductors,1.63975,112.52,1.467,2095516,Nasdaq Global Select,NASDAQ
MRVL,Marvell Technology Group Ltd,27766386700.0,Technology,Semiconductors,1.07483,41.43,0.24,7634878,Nasdaq Global Select,NASDAQ
SWKS,Skyworks Solutions Inc,25015310300.0,Technology,Semiconductors,1.34291,149.76,1.76,1738492,Nasdaq Global Select,NASDAQ
MXIM,Maxim Integrated Products Inc,19485585400.0,Technology,Semiconductors,1.25426,72.87,1.92,3420929,Nasdaq Global Select,NASDAQ
MPWR,Monolithic Power Systems Inc,15521631200.0,Technology,Semiconductors,1.11643,321.45,1.7,308493,Nasdaq Global Select,NASDAQ
QRVO,Qorvo Inc,15501825000.0,Technology,Semiconductors,1.45923,135.7,0.0,1327209,Nasdaq Global Select,NASDAQ
SMI,Semiconductor Manufacturing International Corporation ADR,15226898925.6,Technology,Semiconductors,0.799578,5.55,0.0,363374,New York Stock Exchange,NYSE
UMC,United Microelectronics Corporation (NEW),13824449500.0,Technology,Semiconductors,0.449624,5.58,0.136,2711323,New York Stock Exchange,NYSE
ON,ON Semiconductor Corp,10747104300.0,Technology,Semiconductors,2.17669,26.16,0.0,6125063,Nasdaq Global Select,NASDAQ
ASX,Advanced Semiconductor Engineering Inc.,9688000500.0,Technology,Semiconductors,1.233357,4.48,0.136,696953,New York Stock Exchange,NYSE
CY,Cypress Semiconductor Corporation,8934261800.0,Technology,Semiconductors,1.860033,23.82,0.44,0,Nasdaq Global Select,NASDAQ
MSCC,Microsemi Corporation,8043165000.0,Technology,Semiconductors,1.199894,68.75,0.0,5283795,Nasdaq Global Select,NASDAQ
CREE,Cree Inc,7957701100.0,Technology,Semiconductors,1.18677,72.53,0.0,1078827,Nasdaq Global Select,NASDAQ
MLNX,Mellanox Technologies Ltd.,7023214100.0,Technology,Semiconductors,0.491568,124.89,0.0,0,Nasdaq Global Select,NASDAQ
IDTI,Integrated Device Technology Inc.,6515670000.0,Technology,Semiconductors,1.208666,48.99,0.0,1164638,Nasdaq Global Select,NASDAQ
IPHI,Inphi Corp,6144369700.0,Technology,Semiconductors,1.22917,118.32,0.0,918650,New York Stock Exchange,NYSE
SPIL,Siliconware Precision Industries Company Ltd.,5873800000.0,Technology,Semiconductors,0.289407,8.6,0.211964,53286,Nasdaq Global Select,NASDAQ
CAVM,Cavium Inc.,5866360000.0,Technology,Semiconductors,1.457668,86.27,0.0,993359,Nasdaq Global Select,NASDAQ
LSCC,Lattice Semiconductor Corp,4697928200.0,Technology,Semiconductors,1.03431,34.72,0.0,1045107,Nasdaq Global Select,NASDAQ
SLAB,Silicon Laboratories Inc,4602041900.0,Technology,Semiconductors,1.0779,105.08,0.0,242690,Nasdaq Global Select,NASDAQ
CRUS,Cirrus Logic Inc,3950856960.0,Technology,Semiconductors,0.86804,67.66,0.0,667410,Nasdaq Global Select,NASDAQ
SMTC,Semtech Corp,3712942080.0,Technology,Semiconductors,1.64222,56.98,0.0,461013,Nasdaq Global Select,NASDAQ
POWI,Power Integrations Inc,3683890180.0,Technology,Semiconductors,0.9597,61.63,0.38,352516,Nasdaq Global Select,NASDAQ
DIOD,Diodes Inc,3225474300.0,Technology,Semiconductors,1.15947,62.23,0.0,271473,Nasdaq Global Select,NASDAQ
AMKR,Amkor Technology Inc,3205393410.0,Technology,Semiconductors,1.65422,13.28,0.0,1195693,Nasdaq Global Select,NASDAQ
SYNA,Synaptics Inc,2784545790.0,Technology,Semiconductors,1.23106,81.27,0.0,397375,Nasdaq Global Select,NASDAQ
VSH,Vishay Intertechnology Inc,2579252220.0,Technology,Semiconductors,1.40419,17.83,0.38,947223,New York Stock Exchange,NYSE
MTSI,MACOM Technology Solutions Holdings Inc,2371084030.0,Technology,Semiconductors,2.29109,35.45,0.0,487672,Nasdaq Global Select,NASDAQ
FORM,FormFactor Inc,2282478850.0,Technology,Semiconductors,1.22772,29.62,0.0,547184,Nasdaq Global Select,NASDAQ
TSEM,Tower Semiconductor Ltd,2158973180.0,Technology,Semiconductors,1.2074,19.96,0.0,355586,Nasdaq Global Select,NASDAQ
MXL,Maxlinear Inc,2046097150.0,Technology,Semiconductors,1.99718,27.68,0.0,505740,New York Stock Exchange,NYSE
ONTO,Onto Innovation Inc,1668022140.0,Technology,Semiconductors,1.11761,34.17,0.0,278367,NYSE,NYSE
RMBS,Rambus Inc,1621989500.0,Technology,Semiconductors,1.01366,14.26,0.0,644526,Nasdaq Global Select,NASDAQ
SITM,SiTime Corp,1559602820.0,Technology,Semiconductors,0.0,93.3,0.0,134455,NasdaqGS,NASDAQ
OCLR,Oclaro Inc.,1421580000.0,Technology,Semiconductors,0.49996,8.27,0.0,7820083,Nasdaq Global Select,NASDAQ
SIMO,Silicon Motion Technology Corp,1391797380.0,Technology,Semiconductors,1.09532,39.6,0.64,295420,Nasdaq Global Select,NASDAQ
CEVA,CEVA Inc,962578240.0,Technology,Semiconductors,1.3463,43.44,0.0,135384,Nasdaq Global Select,NASDAQ
QTNA,Quantenna Communications Inc.,962224380.0,Technology,Semiconductors,1.037903,24.26,0.0,405370,Nasdaq Global Select,NASDAQ
LASR,nLIGHT Inc,900125180.0,Technology,Semiconductors,0.0,23.155,0.0,252618,NasdaqGS,NASDAQ
HQCL,Hanwha Q CELLS Co. Ltd.,816305000.0,Technology,Semiconductors,0.435287,9.84,0.0,33867,Nasdaq Global Select,NASDAQ
XCRA,Xcerra Corporation,784025000.0,Technology,Semiconductors,1.310784,14.26,0.0,1577302,Nasdaq Global Select,NASDAQ
NANO,Nanometrics Incorporated,752514000.0,Technology,Semiconductors,1.662178,30.59,0.0,198533,Nasdaq Global Select,NASDAQ
IMOS,ChipMOS TECHNOLOGIES INC.,741544320.0,Technology,Semiconductors,0.436591,20.28,1.9820000000000002,11490,Nasdaq Global Select,NASDAQ
HIMX,Himax Technologies Inc,654299200.0,Technology,Semiconductors,1.23286,3.8,0.0,816172,Nasdaq Global Select,NASDAQ
SGH,Smart Global Holdings Inc,631496060.0,Technology,Semiconductors,0.83503,25.86,0.0,212653,Nasdaq Global Select,NASDAQ
MX,MagnaChip Semiconductor Corp,488726752.0,Technology,Semiconductors,1.17798,13.9,0.0,351696,New York Stock Exchange,NYSE
AQ,Aquantia Corp.,472096576.0,Technology,Semiconductors,1.176533,13.16,0.0,823734,New York Stock Exchange,NYSE
AOSL,Alpha and Omega Semiconductor Ltd,422865792.0,Technology,Semiconductors,2.45664,16.66,0.0,129006,Nasdaq Global Select,NASDAQ
