symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
MSFT,Microsoft Corp,1662310020000.0,Technology,Software Infrastructure,0.85286,219.66,1.99,33841051,Nasdaq Global Select,NASDAQ
BRKB,Berkshire Hathaway Inc.,537046876000.0,,,0.841483,211.91,0.0,971,NYSE,NYSE
BRKA,Berkshire Hathaway Inc.,524935987000.0,Industrials,Insurance Diversified,0.847173,318504.0,0.0,428,NYSE,NYSE
BRK-A,Berkshire Hathaway Inc,506507362000.0,Financial Services,Insurance Diversified,0.81775,318504.0,0.0,1009,NYSE,NYSE
BRK-B,Berkshire Hathaway Inc.,506507297000.0,Financial Services,Insurance Diversified,0.841483,211.91,0.0,4920134,NYSE,NYSE
V,Visa Inc,439658840000.0,Financial Services,Credit Services,0.88936,200.26,1.15,7704825,New York Stock Exchange,NYSE
WMT,Walmart Inc,410071990000.0,Consumer Defensive,Discount Stores,0.39052,144.71,2.14,9910440,New York Stock Exchange,NYSE
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,405218460000.0,Technology,Semiconductors,0.602506,86.7,2.848502,10949706,New York Stock Exchange,NYSE
JNJ,Johnson & Johnson,389920653000.0,Healthcare,Drug Manufacturers General,0.66931,148.1,3.92,5982185,New York Stock Exchange,NYSE
VTI,Vanguard Total Stock Market,368189014000.0,,,0.0,177.55,2.9000000000000004,2954698,NYSE Arca,NYSE
PG,Procter & Gamble Co,359476232000.0,Consumer Defensive,Household & Personal Products,0.40028,144.39,3.0284,6007326,New York Stock Exchange,NYSE
SPY,SPDR S&P 500,318736531000.0,,,0.0,347.29,5.726000000000001,67494281,NYSE Arca,NYSE
UNH,UnitedHealth Group Inc,313515835000.0,Healthcare,Health Care Plans,0.72597,329.9,4.49,2705104,New York Stock Exchange,NYSE
GJS,Goldman Sachs Group Securities STRATS Trust for Series 2006-2,281484880000.0,,,0.154206,19.75,0.326,743,New York Stock Exchange,NYSE
ADBE,Adobe Inc,241212310000.0,Technology,Software Infrastructure,0.97734,502.82,0.0,2892951,Nasdaq Global Select,NASDAQ
VZ,Verizon Communications Inc,240213803000.0,Communication Services,Telecom Services,0.37859,58.05,2.4475,13408184,New York Stock Exchange,NYSE
NFLX,Netflix Inc,234086351000.0,Communication Services,Entertainment,0.99601,530.79,0.0,6002628,Nasdaq Global Select,NASDAQ
INTC,Intel Corp,230342476000.0,Technology,Semiconductors,0.67617,54.16,1.29,34687664,Nasdaq Global Select,NASDAQ
IVV,iShares Core S&P 500,216579113000.0,,,0.0,348.45,6.314,3358185,NYSE Arca,NYSE
KO,Coca-Cola Co,214900851000.0,Consumer Defensive,Beverages Non-Alcoholic,0.55254,50.03,1.61,14385329,New York Stock Exchange,NYSE
CMCSA,Comcast Corp,211541475000.0,Communication Services,Entertainment,0.90179,45.56,0.88,17287418,Nasdaq Global Select,NASDAQ
PFE,Pfizer Inc,210883592000.0,Healthcare,Drug Manufacturers General,0.62905,37.95,1.48,24928353,New York Stock Exchange,NYSE
FIYY,Barclays ETN FI Enhanced Global High Yield Exchange Traded Notes Series B,208189063000.0,,,0.0,88.8937,0.0,2337,NYSE Arca,NYSE
MRK,Merck & Co Inc,201909240000.0,Healthcare,Drug Manufacturers General,0.37831,79.83,2.38,8016926,New York Stock Exchange,NYSE
NKE,Nike Inc,200938242000.0,Consumer Cyclical,Footwear & Accessories,0.81469,128.0,0.955,6601915,New York Stock Exchange,NYSE
NVS,Novartis AG,197121704000.0,Healthcare,Drug Manufacturers General,0.517296,86.19,3.042,1812443,New York Stock Exchange,NYSE
PEP,PepsiCo Inc,195865182000.0,Consumer Defensive,Beverages Non-Alcoholic,0.55412,141.73,3.8875,4160706,Nasdaq Global Select,NASDAQ
T,AT&T Inc,194726248000.0,Communication Services,Telecom Services,0.64772,27.33,2.06,33596498,New York Stock Exchange,NYSE
ABT,Abbott Laboratories,194174026000.0,Healthcare,Medical Devices,0.87433,109.67,1.36,5186395,New York Stock Exchange,NYSE
ORCL,Oracle Corp,181526561000.0,Technology,Software Infrastructure,0.77197,60.29,0.96,13150351,New York Stock Exchange,NYSE
TM,Toyota Motor Corporation,181204206000.0,Consumer Cyclical,Auto Manufacturers,0.901214,130.64,4.05504,162792,New York Stock Exchange,NYSE
FFEU,Barclays ETN+ FI Enhanced Europe 50 ETN Series C,178241667000.0,,,0.0,76.1066,0.0,853,NYSEArca,NYSE
BT,BT Group plc American Depositary Shares,173378967464.86,Communication Services,Communication Services,0.588951,13.05,0.60314,1308007,New York Stock Exchange,NYSE
MCD,Mcdonald's Corp,170674897000.0,Consumer Cyclical,Restaurants,0.61518,229.37,4.91,2882040,New York Stock Exchange,NYSE
CSCO,Cisco Systems Inc,170014556000.0,Technology,Communication Equipment,0.82049,40.16,1.41,22827482,Nasdaq Global Select,NASDAQ
COST,Costco Wholesale Corp,168346141000.0,Consumer Defensive,Discount Stores,0.6692,381.54,2.65,2193193,Nasdaq Global Select,NASDAQ
NVO,Novo Nordisk A/S,165313954000.0,Healthcare,Biotechnology,0.592115,71.02,1.300605,945178,New York Stock Exchange,NYSE
UL,Unilever PLC,164269277000.0,Consumer Defensive,Household & Personal Products,0.388576,62.76,1.8179999999999998,882578,New York Stock Exchange,NYSE
TBB,AT&T Inc. 5.350% Global Notes due 2066,163870736000.0,,,0.398881,26.69,1.336,73639,New York Stock Exchange,NYSE
DHR,Danaher Corp,161355088000.0,Healthcare,Diagnostics & Research,0.87917,227.45,0.69,2009828,New York Stock Exchange,NYSE
UN,Unilever NV,161252475000.0,Consumer Defensive,Household & Personal Products,0.388576,61.61,1.8179999999999998,1305882,New York Stock Exchange,NYSE
ZM,Zoom Video Communications Inc,158991335000.0,Communication Services,Telecom Services,0.0,559.0,0.0,9876567,NasdaqGS,NASDAQ
AVGO,Broadcom Inc,153164300000.0,Technology,Semiconductors,0.98527,378.65,12.4,1871351,Nasdaq Global Select,NASDAQ
ABBV,Abbvie Inc,152251875000.0,Healthcare,Drug Manufacturers General,0.68081,86.27,4.5,6980450,New York Stock Exchange,NYSE
NEE,Nextera Energy Inc,149636432000.0,Utilities,Utilities Regulated Electric,0.20584,305.6,5.3,1755778,New York Stock Exchange,NYSE
MDT,Medtronic PLC,148059865000.0,Healthcare,Medical Devices,0.64621,110.13,2.2,4439085,New York Stock Exchange,NYSE
VB,Vanguard Small-Cap,146335826000.0,,,0.0,165.64,2.1310000000000002,651075,NYSE Arca,NYSE
