symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
MSFT,Microsoft Corp,1662310020000.0,Technology,Software Infrastructure,0.85286,219.66,1.99,33841051,Nasdaq Global Select,NASDAQ
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,405218460000.0,Technology,Semiconductors,0.602506,86.7,2.848502,10949706,New York Stock Exchange,NYSE
ADBE,Adobe Inc,241212310000.0,Technology,Software Infrastructure,0.97734,502.82,0.0,2892951,Nasdaq Global Select,NASDAQ
INTC,Intel Corp,230342476000.0,Technology,Semiconductors,0.67617,54.16,1.29,34687664,Nasdaq Global Select,NASDAQ
ORCL,Oracle Corp,181526561000.0,Technology,Software Infrastructure,0.77197,60.29,0.96,13150351,New York Stock Exchange,NYSE
CSCO,Cisco Systems Inc,170014556000.0,Technology,Communication Equipment,0.82049,40.16,1.41,22827482,Nasdaq Global Select,NASDAQ
AVGO,Broadcom Inc,153164300000.0,Technology,Semiconductors,0.98527,378.65,12.4,1871351,Nasdaq Global Select,NASDAQ
INTU,Intuit Inc,89315459000.0,Technology,Software Application,0.97966,341.15,2.06,1206484,Nasdaq Global Select,NASDAQ
FIS,Fidelity National Information Services Inc,89148482000.0,Technology,Information Technology Services,0.71337,143.88,1.4,3031960,New York Stock Exchange,NYSE
FISV,Fiserv Inc,67781972000.0,Technology,Information Technology Services,0.74322,101.22,0.0,4739609,Nasdaq Global Select,NASDAQ
INFY,Infosys Limited American Depositary Shares,64978371000.0,Technology,Information Technology Services,0.017042,15.51,0.390279,9441710,New York Stock Exchange,NYSE
VMW,VMware Inc,64115581000.0,Technology,Software Infrastructure,0.87872,152.61,0.0,1117132,New York Stock Exchange,NYSE
UBER,Uber Technologies Inc,59098350000.0,Technology,Software Application,0.0,33.72,0.0,20495006,NYSE,NYSE
DELL,Dell Technologies Inc,52382200000.0,Technology,Computer Hardware,0.80996,70.15,0.0,2089853,NYSE,NYSE
TEAM,Atlassian Corporation PLC,51332882000.0,Technology,Software Application,0.98363,207.45,0.0,1731517,Nasdaq Global Select,NASDAQ
DOCU,DocuSign Inc,43439710000.0,Technology,Software Application,0.0,234.6,0.0,5710148,NasdaqGS,NASDAQ
ERIC,Ericsson,35615805000.0,Technology,Communication Equipment,0.41432,10.7,0.078,8885450,Nasdaq Global Select,NASDAQ
