symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
SHOP.TO,Shopify Inc,171592040000,Technology,Software Application,1.62793,1407.9,0.0,220143,Toronto,TSX
TD-PFL.TO,The Toronto-Dominion Bank,140514083000,,,0.0,24.85,0.0,1875,Toronto,TSX
RY.TO,Royal Bank of Canada,138436952000,Financial Services,Banks Diversified,0.74943,97.34,4.26,3436416,Toronto,TSX
TD-PFK.TO,The Toronto-Dominion Bank,136518574000,,,0.0,19.9,0.0,3435,Toronto,TSX
TD.TO,Toronto-Dominion Bank,109487079000,Financial Services,Banks Diversified,0.72284,60.42,3.06,5279208,Toronto,TSX
CNR.TO,Canadian National Railway Co,104638718000,Industrials,Railroads,0.62822,147.42,2.225,1370170,Toronto,TSX
ENB.TO,Enbridge Inc,78698889000,Energy,Oil & Gas Midstream,0.91338,38.86,3.096,5917656,Toronto,TSX
BAM-A.TO,Brookfield Asset Management Inc,70060007000,Financial Services,Asset Management,1.07826,44.48,0.49531,1686802,Toronto,TSX
BNS.TO,Bank of Nova Scotia,68784538000,Financial Services,Banks Diversified,0.83388,56.18,3.6,4457212,Toronto,TSX
ABX.TO,Barrick Gold Corp,64615064000,Basic Materials,Gold,0.23006,36.34,0.30171,5069367,Toronto,TSX
CP.TO,Canadian Pacific Railway Ltd,58108846000,Industrials,Railroads,0.78353,428.74,3.32,297553,Toronto,TSX
CNU.TO,CNOOC Limited,55478694000,Energy,Oil & Gas E&P,1.116653,141.01,10.00138,17,Toronto,TSX
TRI.TO,Thomson Reuters Corp,54194012000,Industrials,Consulting Services,0.35648,109.14,1.94043,501666,Toronto,TSX
TRP.TO,TC Energy Corp,53307400000,Energy,Oil & Gas Midstream,0.68639,56.71,3.87,2633941,Toronto,TSX
BMO.TO,Bank of Montreal,52060774000,Financial Services,Banks Diversified,1.07551,80.99,4.18,2743877,Toronto,TSX
BCE.TO,BCE Inc,50832278000,Communication Services,Telecom Services,0.28045,56.21,3.21,2454291,Toronto,TSX
ATD-B.TO,Alimentation Couche-Tard Inc,49598382000,Consumer Defensive,Grocery Stores,0.81091,44.51,0.0,1321768,Toronto,TSX
BCE-PA.TO,BCE Inc.,48106766000,Communication Services,Telecom Services,0.0,13.3,0.90252,9591,Toronto,TSX
BCE-PY.TO,BCE Inc.,45234414000,Communication Services,Telecom Services,0.0,12.38,0.8789399999999998,5338,Toronto,TSX
CM.TO,Canadian Imperial Bank of Commerce,44964905000,Financial Services,Banks Diversified,1.03233,101.01,5.8,1923306,Toronto,TSX
MFC.TO,Manulife Financial Corp,36481241000,Financial Services,Insurance Life,1.15671,18.81,1.09,5806129,Toronto,TSX
FNV.TO,Franco-Nevada Corp,35140616000,Basic Materials,Gold,0.61759,184.38,1.32492,407066,Toronto,TSX
CSU.TO,Constellation Software Inc,32242655200,Technology,Software Application,0.58123,1521.49,5.2472,40579,Toronto,TSX
SLF.TO,Sun Life Financial Inc,31955548200,Financial Services,Insurance Diversified,1.04358,54.64,2.175,1791417,Toronto,TSX
T.TO,Telus Corp,30790320100,Communication Services,Telecom Services,0.55673,23.98,1.43625,2011214,Toronto,TSX
NTR.TO,Nutrien Ltd,30153353200,Basic Materials,Agricultural Inputs,0.0,52.98,2.36124,1527535,Toronto,TSX
QSP-UN.TO,Restaurant Brands International LP,28425695200,Consumer Cyclical,Restaurants,1.296923,78.0,1.95,1315,Toronto,TSX
CNQ.TO,Canadian Natural Resources Ltd,27435558900,Energy,Oil & Gas E&P,2.0944,23.23,1.6,5971804,Toronto,TSX
RCI-B.TO,Rogers Communications Inc,27271254000,Communication Services,Telecom Services,0.26512,53.59,2.5,1017484,Toronto,TSX
AEM.TO,Agnico Eagle Mines Ltd,25933557800,Basic Materials,Gold,1.07508,107.34,1.18062,716612,Toronto,TSX
GWO.TO,Great-West Lifeco Inc,25678321700,Financial Services,Insurance Life,0.84499,27.68,1.702,898480,Toronto,TSX
FTS.TO,Fortis Inc,25362513900,Utilities,Utilities Regulated Electric,0.0632,54.59,1.8825,1449214,Toronto,TSX
L.TO,Loblaw Companies Ltd,24823191600,Consumer Defensive,Grocery Stores,-0.07344,69.38,1.26,574024,Toronto,TSX
PWF.TO,Power Financial Corporation,24113362900,Financial Services,Insurance Life,0.984615,36.31,1.822,7304476,Toronto,TSX
SU.TO,Suncor Energy Inc,23899099100,Energy,Oil & Gas Integrated,1.69744,15.67,1.935,8760559,Toronto,TSX
GIB-A.TO,CGI Inc,23600259100,Technology,Information Technology Services,0.93837,91.01,0.0,445988,Toronto,TSX
QSR.TO,Restaurant Brands International Inc,22988087300,Consumer Cyclical,Restaurants,1.3309,75.84,2.67607,819795,Toronto,TSX
NA.TO,National Bank of Canada,22340237300,Financial Services,Banks Diversified,1.152,66.55,2.78,1331896,Toronto,TSX
PWF-PZ.TO,Power Financial Corporation,22047367200,Financial Services,Insurance Life,0.0,25.24,1.2875,6862,Toronto,TSX
MG.TO,Magna International Inc,21038059500,Consumer Cyclical,Auto Parts,1.64186,70.45,2.00598,997504,Toronto,TSX
IFC.TO,Intact Financial Corp,20666101800,Financial Services,Insurance Property & Casualty,0.71497,144.5,3.18,237175,Toronto,TSX
PPL-PA.TO,Pembina Pipeline Corporation,20642797600,Energy,Oil & Gas Midstream,0.0,13.3,1.2265,9404,Toronto,TSX
