symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,405218460000.0,Technology,Semiconductors,0.602506,86.7,2.848502,10949706,New York Stock Exchange,NYSE
JNJ,Johnson & Johnson,389920653000.0,Healthcare,Drug Manufacturers General,0.66931,148.1,3.92,5982185,New York Stock Exchange,NYSE
PG,Procter & Gamble Co,359476232000.0,Consumer Defensive,Household & Personal Products,0.40028,144.39,3.0284,6007326,New York Stock Exchange,NYSE
JPM,JPMorgan Chase & Co,309422785000.0,Financial Services,Banks Diversified,1.15933,101.51,3.5,16275350,New York Stock Exchange,NYSE
VZ,Verizon Communications Inc,240213803000.0,Communication Services,Telecom Services,0.37859,58.05,2.4475,13408184,New York Stock Exchange,NYSE
INTC,Intel Corp,230342476000.0,Technology,Semiconductors,0.67617,54.16,1.29,34687664,Nasdaq Global Select,NASDAQ
KO,Coca-Cola Co,214900851000.0,Consumer Defensive,Beverages Non-Alcoholic,0.55254,50.03,1.61,14385329,New York Stock Exchange,NYSE
PFE,Pfizer Inc,210883592000.0,Healthcare,Drug Manufacturers General,0.62905,37.95,1.48,24928353,New York Stock Exchange,NYSE
BAC,Bank of America Corp,209955258000.0,Financial Services,Banks Diversified,1.57506,24.24,0.72,58589850,New York Stock Exchange,NYSE
MRK,Merck & Co Inc,201909240000.0,Healthcare,Drug Manufacturers General,0.37831,79.83,2.38,8016926,New York Stock Exchange,NYSE
NVS,Novartis AG,197121704000.0,Healthcare,Drug Manufacturers General,0.517296,86.19,3.042,1812443,New York Stock Exchange,NYSE
PEP,PepsiCo Inc,195865182000.0,Consumer Defensive,Beverages Non-Alcoholic,0.55412,141.73,3.8875,4160706,Nasdaq Global Select,NASDAQ
T,AT&T Inc,194726248000.0,Communication Services,Telecom Services,0.64772,27.33,2.06,33596498,New York Stock Exchange,NYSE
TM,Toyota Motor Corporation,181204206000.0,Consumer Cyclical,Auto Manufacturers,0.901214,130.64,4.05504,162792,New York Stock Exchange,NYSE
BT,BT Group plc American Depositary Shares,173378967464.86,Communication Services,Communication Services,0.588951,13.05,0.60314,1308007,New York Stock Exchange,NYSE
